SalesOrderNumber,OrderDate,CountryRegionCode,Category,ResellerName,NumberEmployees,YearOpened,Region,SalesAmount,TotalProductCost,OrderQuantity,DaysOfRent,UnitPrice
OrNo.226791,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3283.25,2790.7625,1,,3283.25
OrNo.255882,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3241,2754.85,1,,3241
OrNo.263260,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3311.5,2814.775,1,,3311.5
OrNo.263264,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3311.5,2814.775,1,,3311.5
OrNo.275384,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,4001.5,3401.275,1,,4001.5
OrNo.275455,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,4001.5,3401.275,1,,4001.5
OrNo.297670,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,8043.5,3418.4875,2,,4021.75
OrNo.330260,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,4021.75,3418.4875,1,,4021.75
OrNo.330849,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3311.5,2814.775,1,,3311.5
OrNo.336225,2019-03-09,DE,E-Bikes,Biketastic Germany,8,2019,EU,2258.5,1784.215,1,,2258.5
OrNo.337369,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,6931,2945.675,2,,3465.5
OrNo.352896,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3719.5,3161.575,1,,3719.5
OrNo.661595,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3452.5,2934.625,1,,3452.5
OrNo.661695,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3283.25,2790.7625,1,,3283.25
OrNo.662016,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,6482,2754.85,2,,3241
OrNo.662190,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3241,2754.85,1,,3241
OrNo.662889,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,8003,3401.275,2,,4001.5
OrNo.663177,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,8003,3401.275,2,,4001.5
OrNo.664770,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,8043.5,3418.4875,2,,4021.75
OrNo.665572,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3971,3375.35,1,,3971
OrNo.666103,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,4021.75,3418.4875,1,,4021.75
OrNo.666223,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3311.5,2814.775,1,,3311.5
OrNo.666999,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3465.5,2945.675,1,,3465.5
OrNo.699396,2019-03-10,DE,E-Bikes,Biketastic Germany,8,2019,EU,6274.5,1652.285,3,,2091.5
OrNo.697951,2019-03-14,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.697990,2019-03-14,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.661069,2019-03-18,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.698279,2019-03-18,DE,E-Bikes,Biketastic Germany,8,2019,EU,5323.5,2102.7825,2,,2661.75
OrNo.213290,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,207,122.13,1,98,207
OrNo.213360,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,709.5,209.3025,2,168,354.75
OrNo.214320,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,620.75,366.2425,1,294,620.75
OrNo.214850,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,413.75,244.1125,1,196,413.75
OrNo.214930,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,739,436.01,1,350,739
OrNo.215090,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,502.5,148.2375,2,119,251.25
OrNo.215230,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,561,165.495,2,84,280.5
OrNo.215350,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,384.25,226.7075,1,182,384.25
OrNo.230590,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,163.5,96.465,1,49,163.5
OrNo.251630,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,694.75,409.9025,1,329,694.75
OrNo.251710,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,665,392.35,1,315,665
OrNo.251830,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,709.5,418.605,1,336,709.5
OrNo.252180,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,350.25,68.8825,3,35,116.75
OrNo.252780,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,69.75,13.7175,3,7,23.25
OrNo.252860,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,428.75,252.9625,1,203,428.75
OrNo.252910,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,841.5,165.495,3,84,280.5
OrNo.253050,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,354.75,209.3025,1,168,354.75
OrNo.253230,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,946,279.07,2,224,473
OrNo.253610,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,1064,313.88,2,252,532
OrNo.253770,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,443.5,130.8325,2,105,221.75
OrNo.253880,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,487.75,287.7725,1,231,487.75
OrNo.253910,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,1064.25,209.3025,3,168,354.75
OrNo.260230,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,340,200.6,1,161,340
OrNo.284620,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,236.5,139.535,1,112,236.5
OrNo.303660,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,443.5,261.665,1,210,443.5
OrNo.303710,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,163.5,96.465,1,49,163.5
OrNo.304320,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,694.75,409.9025,1,329,694.75
OrNo.304520,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,1330.5,261.665,3,210,443.5
OrNo.304630,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,233.75,137.9125,1,70,233.75
OrNo.304830,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,709.5,418.605,1,336,709.5
OrNo.304990,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,221.75,130.8325,1,105,221.75
OrNo.305070,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,487.75,287.7725,1,231,487.75
OrNo.305130,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,70,41.3,1,21,70
OrNo.305280,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,473,279.07,1,224,473
OrNo.305370,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,665,392.35,1,315,665
OrNo.305500,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,236.5,139.535,1,112,236.5
OrNo.305740,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,916.5,270.3675,2,217,458.25
OrNo.305800,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,163.5,96.465,1,49,163.5
OrNo.305930,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,325.25,191.8975,1,154,325.25
OrNo.325700,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,841.5,165.495,3,84,280.5
OrNo.326210,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,70,41.3,1,21,70
OrNo.326340,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,1551.75,305.1775,3,245,517.25
OrNo.326530,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,414,122.13,2,98,207
OrNo.326670,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,116.75,68.8825,1,35,116.75
OrNo.326930,2019-03-20,DE,Bike Rental,Biketastic Germany,8,2019,EU,1152.75,226.7075,3,182,384.25
OrNo.223500,2019-03-21,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.223572,2019-03-21,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.294381,2019-03-21,DE,E-Bikes,Biketastic Germany,8,2019,EU,5323.5,2102.7825,2,,2661.75
OrNo.660917,2019-03-21,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.697610,2019-03-21,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.697668,2019-03-21,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.214030,2019-03-30,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,4390.25,3731.7125,1,,4390.25
OrNo.227689,2019-03-30,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,7896,3355.8,2,,3948
OrNo.316826,2019-03-30,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,6765,2875.125,2,,3382.5
OrNo.660528,2019-03-30,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,4390.25,3731.7125,1,,4390.25
OrNo.661879,2019-03-30,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3948,3355.8,1,,3948
OrNo.661942,2019-03-30,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,3559,3025.15,1,,3559
OrNo.665468,2019-03-30,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,6765,2875.125,2,,3382.5
OrNo.221291,2019-04-09,DE,Cargo Bikes,Biketastic Germany,9,2019,EU,3452.5,2934.625,1,,3452.5
OrNo.260320,2019-04-09,DE,Cargo Bikes,Biketastic Germany,9,2019,EU,4422.25,3758.9125,1,,4422.25
OrNo.296240,2019-04-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,2467.5,1949.325,1,,2467.5
OrNo.296274,2019-04-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,2467.5,1949.325,1,,2467.5
OrNo.660851,2019-04-09,DE,Cargo Bikes,Biketastic Germany,9,2019,EU,3452.5,2934.625,1,,3452.5
OrNo.664483,2019-04-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,2467.5,1949.325,1,,2467.5
OrNo.664813,2019-04-09,DE,Cargo Bikes,Biketastic Germany,9,2019,EU,3213.75,2731.6875,1,,3213.75
OrNo.665373,2019-04-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,6274.5,1652.285,3,,2091.5
OrNo.665884,2019-04-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,4371,1726.545,2,,2185.5
OrNo.699831,2019-04-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,4371,1726.545,2,,2185.5
OrNo.312922,2019-04-14,DE,E-Bikes,Biketastic Germany,9,2019,EU,6274.5,1652.285,3,,2091.5
OrNo.312731,2019-04-18,DE,E-Bikes,Biketastic Germany,9,2019,EU,6274.5,1652.285,3,,2091.5
OrNo.665053,2019-04-18,DE,E-Bikes,Biketastic Germany,9,2019,EU,6274.5,1652.285,3,,2091.5
OrNo.124992,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,443.5,261.665,1,210,443.5
OrNo.125247,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,591.25,348.8375,1,280,591.25
OrNo.219870,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,140,41.3,2,21,70
OrNo.227290,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,771,151.63,3,77,257
OrNo.227320,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,532,156.94,2,126,266
OrNo.277410,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,187,110.33,1,56,187
OrNo.277510,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,753.75,444.7125,1,357,753.75
OrNo.277670,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,354.75,209.3025,1,168,354.75
OrNo.278040,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,768.5,453.415,1,364,768.5
OrNo.278210,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,70,41.3,1,21,70
OrNo.278530,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,547,322.73,1,259,547
OrNo.278640,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,233.75,137.9125,1,70,233.75
OrNo.281690,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,1551.75,305.1775,3,245,517.25
OrNo.281770,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,650.25,383.6475,1,308,650.25
OrNo.282200,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,6,3.54,1,1,6
OrNo.282330,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,93.5,55.165,1,28,93.5
OrNo.282490,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,295.5,174.345,1,140,295.5
OrNo.282610,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,709.5,418.605,1,336,709.5
OrNo.282700,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,257,151.63,1,77,257
OrNo.282800,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,354.75,209.3025,1,168,354.75
OrNo.282920,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,413.75,244.1125,1,196,413.75
OrNo.283100,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,233.75,137.9125,1,70,233.75
OrNo.283290,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,233.75,137.9125,1,70,233.75
OrNo.283350,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,665,392.35,1,315,665
OrNo.283470,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,561.75,331.4325,1,266,561.75
OrNo.283650,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,547,322.73,1,259,547
OrNo.311960,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,768.5,453.415,1,364,768.5
OrNo.312050,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,576.5,340.135,1,273,576.5
OrNo.312110,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,413.75,244.1125,1,196,413.75
OrNo.312220,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,709.5,209.3025,2,168,354.75
OrNo.335130,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,354.75,209.3025,1,168,354.75
OrNo.347710,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,280.75,165.6425,1,133,280.75
OrNo.664983,2019-04-21,DE,E-Bikes,Biketastic Germany,9,2019,EU,6274.5,1652.285,3,,2091.5
OrNo.218954,2019-05-09,DE,Cargo Bikes,Biketastic Germany,9,2019,EU,4422.25,3758.9125,1,,4422.25
OrNo.283719,2019-05-09,DE,Cargo Bikes,Biketastic Germany,9,2019,EU,8844.5,3758.9125,2,,4422.25
OrNo.328218,2019-05-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,4371,1726.545,2,,2185.5
OrNo.664621,2019-05-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,2467.5,1949.325,1,,2467.5
OrNo.699040,2019-05-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,2467.5,1949.325,1,,2467.5
OrNo.700063,2019-05-09,DE,E-Bikes,Biketastic Germany,9,2019,EU,4371,1726.545,2,,2185.5
OrNo.369310,2019-05-10,DE,E-Bikes,Biketastic Germany,9,2019,EU,4789,1891.655,2,,2394.5
