SalesOrderNumber,OrderDate,CountryRegionCode,Category,ResellerName,NumberEmployees,YearOpened,Region,SalesAmount,TotalProductCost,OrderQuantity,DaysOfRent,UnitPrice,FileName,Profit,ProfitPerRentalDay
OrNo.106000,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,442,163.54,2,77,221,Biketastic_NL,114.92,1.49246753246753
OrNo.106100,2018-08-21,NL,E-Bikes,Biketastic Netherlands,9,2012,EU,4817,2119.48,2,,2408.5,Biketastic_NL,578.04,
OrNo.106310,2018-07-10,NL,E-Bikes,Biketastic Netherlands,9,2012,EU,4817,2119.48,2,,2408.5,Biketastic_NL,578.04,
OrNo.106730,2018-08-18,NL,E-Bikes,Biketastic Netherlands,9,2012,EU,1909.5,1680.36,1,,1909.5,Biketastic_NL,229.14,
OrNo.107000,2018-08-09,GB,E-Bikes,Biketastic Great Britain,6,2017,EU,1909.5,1680.36,1,,1909.5,,229.14,
OrNo.107140,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,111.25,82.325,1,91,111.25,,28.925,0.317857142857143
OrNo.107300,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,714,264.18,2,189,357,Biketastic_FR,185.64,0.982222222222222
OrNo.107320,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,291,215.34,1,238,291,,75.66,0.317899159663866
OrNo.107590,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,265.25,196.285,1,217,265.25,,68.965,0.317811059907834
OrNo.107630,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,214,158.36,1,175,214,,55.64,0.317942857142857
OrNo.107700,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,428,158.36,2,175,214,,111.28,0.635885714285714
OrNo.107970,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,325,120.25,2,133,162.5,,84.5,0.635338345864662
OrNo.108060,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,44.25,10.915,3,10,14.75,,11.505,1.1505
OrNo.108110,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,333.75,246.975,1,273,333.75,,86.775,0.317857142857143
OrNo.108350,2018-06-19,FR,Bike Rental,Biketastic France,5,2016,EU,81.25,60.125,1,42,81.25,Biketastic_FR,21.125,0.50297619047619
OrNo.108410,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,252.75,187.035,1,175,252.75,Biketastic_NL,65.715,0.375514285714286
OrNo.108660,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,131.5,97.31,1,91,131.5,Biketastic_NL,34.19,0.375714285714286
OrNo.108840,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,161.75,119.695,1,112,161.75,Biketastic_NL,42.055,0.375491071428571
OrNo.109090,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,242.75,179.635,1,168,242.75,Biketastic_NL,63.115,0.375684523809524
OrNo.109130,2018-06-19,FR,Bike Rental,Biketastic France,5,2016,EU,515.75,381.655,1,357,515.75,Biketastic_FR,134.095,0.3756162464986
OrNo.109240,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,303.25,224.405,1,210,303.25,Biketastic_NL,78.845,0.375452380952381
OrNo.109410,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,182,134.68,1,126,182,,47.32,0.375555555555555
OrNo.109550,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,930.5,344.285,2,322,465.25,,241.93,0.751335403726708
OrNo.109600,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,890,329.3,2,308,445,,231.4,0.751298701298701
OrNo.109700,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,465,172.05,2,161,232.5,,120.9,0.750931677018633
OrNo.109930,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,455,336.7,1,315,455,,118.3,0.375555555555556
OrNo.110270,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,293.25,217.005,1,203,293.25,Biketastic_NL,76.245,0.375591133004926
OrNo.110390,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,135.5,100.27,1,70,135.5,Biketastic_FR,35.23,0.503285714285714
OrNo.111300,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,2023.5,499.13,3,357,674.5,Biketastic_FR,526.11,1.4736974789916
OrNo.111350,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,293.25,217.005,1,203,293.25,Biketastic_FR,76.245,0.375591133004926
OrNo.111460,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,333.75,246.975,1,231,333.75,Biketastic_NL,86.775,0.375649350649351
OrNo.111780,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,243.75,60.125,3,42,81.25,Biketastic_FR,63.375,1.50892857142857
OrNo.111850,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,465.25,344.285,1,322,465.25,Biketastic_NL,120.965,0.375667701863354
OrNo.111940,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,131.5,97.31,1,91,131.5,Biketastic_FR,34.19,0.375714285714286
OrNo.112000,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,80.5,59.57,1,28,80.5,Biketastic_NL,20.93,0.7475
OrNo.112090,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,263,194.62,1,182,263,Biketastic_NL,68.38,0.375714285714286
OrNo.112470,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,54.25,40.145,1,28,54.25,Biketastic_NL,14.105,0.50375
OrNo.112590,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,374.25,276.945,1,259,374.25,Biketastic_FR,97.305,0.375694980694981
OrNo.112780,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,525.75,389.055,1,364,525.75,Biketastic_FR,136.695,0.375535714285714
OrNo.112910,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,445,329.3,1,308,445,Biketastic_FR,115.7,0.375649350649351
OrNo.113270,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,162.5,120.25,1,84,162.5,Biketastic_NL,42.25,0.50297619047619
OrNo.113360,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,374.25,276.945,1,259,374.25,Biketastic_FR,97.305,0.375694980694981
OrNo.113680,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,242.75,179.635,1,168,242.75,Biketastic_NL,63.115,0.375684523809524
OrNo.113800,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,952.5,234.95,3,168,317.5,Biketastic_FR,247.65,1.47410714285714
OrNo.113810,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,445,329.3,1,308,445,Biketastic_NL,115.7,0.375649350649351
OrNo.114000,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,442,163.54,2,77,221,Biketastic_NL,114.92,1.49246753246753
OrNo.114090,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,394.5,291.93,1,273,394.5,Biketastic_NL,102.57,0.375714285714286
OrNo.114180,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,232.5,172.05,1,161,232.5,Biketastic_FR,60.45,0.375465838509317
OrNo.114880,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,404.5,299.33,1,280,404.5,Biketastic_NL,105.17,0.375607142857143
OrNo.114920,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,354,261.96,1,245,354,Biketastic_FR,92.04,0.375673469387755
OrNo.115000,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,232.5,172.05,1,161,232.5,Biketastic_NL,60.45,0.375465838509317
OrNo.115140,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,313.5,231.99,1,217,313.5,Biketastic_FR,81.51,0.375622119815668
OrNo.115700,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,1111,411.07,2,294,555.5,Biketastic_FR,288.86,0.982517006802721
OrNo.115740,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,189.5,70.115,2,49,94.75,Biketastic_FR,49.27,1.00551020408163
OrNo.115890,2018-07-20,GB,Bike Rental,Biketastic Great Britain,6,2017,EU,137,101.38,1,112,137,,35.62,0.318035714285714
OrNo.115950,2018-06-19,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,424.5,157.065,2,147,212.25,,110.37,0.750816326530612
OrNo.116400,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,789,194.62,3,182,263,Biketastic_NL,205.14,1.12714285714286
OrNo.116900,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,201,74.37,2,35,100.5,Biketastic_NL,52.26,1.49314285714286
OrNo.117040,2018-09-17,GB,Bike Rental,Biketastic Great Britain,7,2017,EU,280,207.2,1,280,280,,72.8,0.26
OrNo.117210,2018-09-17,FR,Bike Rental,Biketastic France,7,2016,EU,231,170.94,1,231,231,Biketastic_FR,60.06,0.26
OrNo.117310,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,490,181.3,2,245,245,Biketastic_NL,127.4,0.52
OrNo.118180,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,336,248.64,1,336,336,Biketastic_NL,87.36,0.26
OrNo.118690,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,12,4.44,2,6,6,Biketastic_FR,3.12,0.52
OrNo.118840,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,350,259,1,350,350,Biketastic_FR,91,0.26
OrNo.118950,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,308,113.96,2,154,154,Biketastic_NL,80.08,0.52
OrNo.119520,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,224,165.76,1,224,224,Biketastic_NL,58.24,0.26
OrNo.119760,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,217,160.58,1,217,217,Biketastic_NL,56.42,0.26
OrNo.119900,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,189,139.86,1,189,189,Biketastic_NL,49.14,0.26
OrNo.120070,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,42,31.08,1,42,42,Biketastic_FR,10.92,0.26
OrNo.120130,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,42,31.08,1,42,42,Biketastic_NL,10.92,0.26
OrNo.120270,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,133,98.42,1,133,133,Biketastic_FR,34.58,0.26
OrNo.120380,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,357,264.18,1,357,357,Biketastic_NL,92.82,0.26
OrNo.120500,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,674.5,499.13,1,357,674.5,Biketastic_NL,175.37,0.491232492997199
OrNo.120530,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,126,31.08,3,42,42,Biketastic_NL,32.76,0.78
OrNo.120620,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,630,155.4,3,210,210,Biketastic_FR,163.8,0.78
OrNo.120700,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,161,119.14,1,161,161,Biketastic_NL,41.86,0.26
OrNo.121000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,201,148.74,1,70,201,Biketastic_FR,52.26,0.746571428571428
OrNo.121270,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,490,181.3,2,245,245,Biketastic_FR,127.4,0.52
OrNo.121390,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,49,36.26,1,49,49,Biketastic_NL,12.74,0.26
OrNo.121650,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,9,6.66,1,9,9,Biketastic_FR,2.34,0.26
OrNo.121780,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,322,238.28,1,322,322,Biketastic_NL,83.72,0.26
OrNo.121810,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,245,181.3,1,245,245,Biketastic_FR,63.7,0.26
OrNo.121980,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,119,88.06,1,119,119,Biketastic_NL,30.94,0.26
OrNo.122000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,20,14.8,1,7,20,Biketastic_FR,5.2,0.742857142857143
OrNo.122010,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,147,108.78,1,147,147,Biketastic_FR,38.22,0.26
OrNo.122200,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,252,186.48,1,252,252,Biketastic_FR,65.52,0.26
OrNo.122570,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,49,36.26,1,49,49,Biketastic_NL,12.74,0.26
OrNo.123050,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,91,67.34,1,91,91,Biketastic_FR,23.66,0.26
OrNo.123250,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,336,248.64,1,336,336,Biketastic_FR,87.36,0.26
OrNo.123475,2018-09-14,FR,E-Bikes,Biketastic France,7,2016,EU,3720.5,1637.02,2,,1860.25,Biketastic_FR,446.46,
OrNo.123556,2018-01-18,GB,Bike Rental,Biketastic Great Britain,3,2017,EU,1071,264.18,3,189,357,,278.46,1.47333333333333
OrNo.123560,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,28,20.72,1,28,28,Biketastic_NL,7.28,0.26
OrNo.123636,2018-03-20,GB,Bike Rental,Biketastic Great Britain,4,2017,EU,728.25,179.635,3,168,242.75,,189.345,1.12705357142857
OrNo.123670,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,301,222.74,1,301,301,Biketastic_FR,78.26,0.26
OrNo.123740,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,154,113.96,1,154,154,Biketastic_NL,40.04,0.26
OrNo.123800,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,330.5,244.57,1,175,330.5,Biketastic_FR,85.93,0.491028571428571
OrNo.123812,2018-11-17,GB,Bike Rental,Biketastic Great Britain,8,2017,EU,443.5,164.095,2,105,221.75,,115.31,1.09819047619048
OrNo.124100,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,449.5,166.315,2,119,224.75,Biketastic_NL,116.87,0.982100840336135
OrNo.124800,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,16,5.92,2,8,8,Biketastic_FR,4.16,0.52
OrNo.124980,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,252,93.24,2,126,126,Biketastic_NL,65.52,0.52
OrNo.124992,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,443.5,261.665,1,210,443.5,Biketastic_DE,181.835,0.865880952380952
OrNo.125073,2018-02-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,15.25,11.285,1,5,15.25,Biketastic_NL,3.965,0.793
OrNo.125247,2019-04-19,DE,Bike Rental,Biketastic Germany,9,2019,EU,591.25,348.8375,1,280,591.25,Biketastic_DE,242.4125,0.865758928571429
OrNo.125370,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,280,207.2,1,280,280,Biketastic_NL,72.8,0.26
OrNo.125420,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,231,170.94,1,231,231,Biketastic_FR,60.06,0.26
OrNo.125680,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,252,62.16,3,84,84,Biketastic_FR,65.52,0.78
OrNo.125720,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,147,36.26,3,49,49,Biketastic_NL,38.22,0.78
OrNo.125792,2019-06-19,GB,Bike Rental,Biketastic Great Britain,11,2017,EU,280.75,165.6425,1,133,280.75,,115.1075,0.86546992481203
OrNo.125890,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,168,41.44,3,56,56,Biketastic_FR,43.68,0.78
OrNo.125990,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,112,82.88,1,112,112,Biketastic_NL,29.12,0.26
OrNo.126062,2019-07-20,GB,Bike Rental,Biketastic Great Britain,12,2017,EU,1864.5,366.685,3,329,621.5,,764.445,2.32354103343465
OrNo.126262,2019-07-20,DE,Bike Rental,Biketastic Germany,11,2019,EU,180.75,106.6425,1,63,180.75,Biketastic_DE,74.1075,1.17630952380952
OrNo.126410,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,350,259,1,350,350,Biketastic_FR,91,0.26
OrNo.126641,2019-05-20,NL,Bike Rental,Biketastic Netherlands,14,2012,EU,857.5,252.9625,2,203,428.75,Biketastic_NL,351.575,1.73189655172414
OrNo.126800,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,648,479.52,1,343,648,Biketastic_NL,168.48,0.491195335276968
OrNo.126860,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,273,67.34,3,91,91,Biketastic_FR,70.98,0.78
OrNo.127000,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,322,238.28,1,322,322,Biketastic_FR,83.72,0.26
OrNo.127100,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,210,155.4,1,210,210,Biketastic_NL,54.6,0.26
OrNo.127179,2018-02-18,GB,Bike Rental,Biketastic Great Britain,3,2017,EU,232.5,172.05,1,161,232.5,,60.45,0.375465838509317
OrNo.127280,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,287,212.38,1,287,287,Biketastic_FR,74.62,0.26
OrNo.127360,2018-08-20,NL,Bike Rental,Biketastic Netherlands,9,2012,EU,364,134.68,2,182,182,Biketastic_NL,94.64,0.52
OrNo.127366,2019-09-18,DE,Bike Rental,Biketastic Germany,13,2019,EU,123.5,36.4325,2,42,61.75,Biketastic_DE,50.635,1.20559523809524
OrNo.127585,2019-09-18,GB,Bike Rental,Biketastic Great Britain,13,2017,EU,111.25,65.6375,1,91,111.25,,45.6125,0.501236263736264
OrNo.127690,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,266,196.84,1,266,266,Biketastic_FR,69.16,0.26
OrNo.127780,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,147,108.78,1,147,147,Biketastic_NL,38.22,0.26
OrNo.127820,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,329,243.46,1,329,329,Biketastic_FR,85.54,0.26
OrNo.127871,2019-08-10,FR,E-Bikes,Biketastic France,12,2016,EU,1938.25,1531.2175,1,,1938.25,Biketastic_FR,407.0325,
OrNo.127887,2019-08-10,DE,E-Bikes,Biketastic Germany,12,2019,EU,1938.25,1531.2175,1,,1938.25,Biketastic_DE,407.0325,
OrNo.127900,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,304.25,225.145,1,161,304.25,Biketastic_FR,79.105,0.491335403726708
OrNo.127965,2019-12-19,FR,Bike Rental,Biketastic France,14,2016,EU,536.5,158.2675,2,161,268.25,Biketastic_FR,219.965,1.36624223602484
OrNo.128040,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,210,51.8,3,70,70,Biketastic_FR,54.6,0.78
OrNo.128260,2018-08-20,FR,Bike Rental,Biketastic France,6,2016,EU,308,113.96,2,154,154,Biketastic_FR,80.08,0.52
OrNo.128283,2019-11-18,GB,Bike Rental,Biketastic Great Britain,14,2017,EU,490,289.1,1,294,490,,200.9,0.683333333333333
OrNo.128371,2019-11-18,GB,Bike Rental,Biketastic Great Britain,14,2017,EU,256.75,151.4825,1,154,256.75,,105.2675,0.683555194805195
OrNo.128710,2018-10-28,FR,Cargo Bikes,Biketastic France,7,2016,EU,3737.75,3476.1075,1,,3737.75,Biketastic_FR,261.6425,
OrNo.128851,2018-04-19,GB,Bike Rental,Biketastic Great Britain,4,2017,EU,789,291.93,2,273,394.5,,205.14,0.751428571428571
OrNo.128860,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,147,108.78,1,147,147,Biketastic_NL,38.22,0.26
OrNo.128980,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,364,269.36,1,364,364,Biketastic_FR,94.64,0.26
OrNo.129440,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,112,82.88,1,112,112,Biketastic_NL,29.12,0.26
OrNo.129530,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,35,25.9,1,35,35,Biketastic_FR,9.1,0.26
OrNo.129560,2019-06-14,DE,E-Bikes,Biketastic Germany,10,2019,EU,2520.75,1991.3925,1,,2520.75,Biketastic_DE,529.3575,
OrNo.129723,2019-08-30,DE,Cargo Bikes,Biketastic Germany,12,2019,EU,3893.25,3309.2625,1,,3893.25,Biketastic_DE,583.9875,
OrNo.129737,2019-08-30,FR,Cargo Bikes,Biketastic France,12,2016,EU,7786.5,3309.2625,2,,3893.25,Biketastic_FR,1167.975,
OrNo.129940,2018-09-17,GB,Bike Rental,Biketastic Great Britain,7,2017,EU,98,72.52,1,98,98,,25.48,0.26
OrNo.129955,2019-12-20,NL,E-Bikes,Biketastic Netherlands,17,2012,EU,2420,1911.8,1,,2420,Biketastic_NL,508.2,
OrNo.130000,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,542.25,401.265,1,287,542.25,Biketastic_NL,140.985,0.491236933797909
OrNo.130030,2018-09-17,GB,Bike Rental,Biketastic Great Britain,7,2017,EU,273,202.02,1,273,273,,70.98,0.26
OrNo.130150,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,840,207.2,3,280,280,Biketastic_NL,218.4,0.78
OrNo.130174,2018-12-12,NL,E-Bikes,Biketastic Netherlands,11,2012,EU,2964.25,2608.54,1,,2964.25,Biketastic_NL,355.71,
OrNo.130280,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,798,196.84,3,266,266,Biketastic_FR,207.48,0.78
OrNo.130366,2018-02-18,FR,Bike Rental,Biketastic France,3,2016,EU,313.5,231.99,1,217,313.5,Biketastic_FR,81.51,0.375622119815668
OrNo.130400,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,280,103.6,2,140,140,Biketastic_FR,72.8,0.52
OrNo.130439,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,293.25,217.005,1,203,293.25,,76.245,0.375591133004926
OrNo.130700,2018-09-17,GB,Bike Rental,Biketastic Great Britain,7,2017,EU,56,20.72,2,28,28,,14.56,0.52
OrNo.130860,2018-09-17,GB,Bike Rental,Biketastic Great Britain,7,2017,EU,133,98.42,1,133,133,,34.58,0.26
OrNo.131390,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,420,155.4,2,210,210,Biketastic_FR,109.2,0.52
OrNo.131500,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,160.75,118.955,1,56,160.75,Biketastic_FR,41.795,0.746339285714286
OrNo.131640,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,28,20.72,1,28,28,Biketastic_NL,7.28,0.26
OrNo.132050,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,140,103.6,1,140,140,Biketastic_NL,36.4,0.26
OrNo.132300,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,252,62.16,3,84,84,Biketastic_FR,65.52,0.78
OrNo.132430,2018-10-18,NL,Bike Rental,Biketastic Netherlands,10,2012,EU,259,191.66,1,259,259,Biketastic_NL,67.34,0.26
OrNo.132770,2018-10-18,FR,Bike Rental,Biketastic France,7,2016,EU,20,7.4,2,10,10,Biketastic_FR,5.2,0.52
