SalesOrderNumber,ProductKey,OrderQuantity,UnitPrice,SalesAmount,TotalProductCost,OrderDate,ShipDate,City,StateProvinceCode,CountryRegionCode,DiscountAmount,SalesType,ResellerKey,CustomerKey,ProductName,ProductSubcategory,ProductCategory,Profit,ResellerName,NumberEmployees,OrderFrequency,AnnualSales,AnnualRevenue,YearOpened,Region,StoreAge
SO71910,471,3,38.1,114.3,71.247,2019-09-18,2019-07-28,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Classic Vest, S",Vests,Clothing,43.053,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,472,5,38.1,190.5,118.745,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Classic Vest, M",Vests,Clothing,71.755,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59033,474,3,41.99,125.98,78.5289,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, S",Shorts,Clothing,47.4531,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO65305,474,4,41.99,167.98,104.7052,2019-06-20,2019-04-26,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, S",Shorts,Clothing,63.2708,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO71910,474,6,41.99,251.96,157.0578,2019-09-18,2019-07-28,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, S",Shorts,Clothing,94.9062,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59033,475,2,41.99,83.99,52.3526,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, M",Shorts,Clothing,31.6354,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO65305,475,2,41.99,83.99,52.3526,2019-06-20,2019-04-26,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, M",Shorts,Clothing,31.6354,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO71910,475,1,41.99,41.99,26.1763,2019-09-18,2019-07-28,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, M",Shorts,Clothing,15.8177,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,476,12,40.59,477.39,314.1156,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,9.7426,Reseller Sales,14,14,"Women's Mountain Shorts, L",Shorts,Clothing,163.2722,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59033,476,4,41.99,167.98,104.7052,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, L",Shorts,Clothing,63.2708,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO65305,476,1,41.99,41.99,26.1763,2019-06-20,2019-04-26,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, L",Shorts,Clothing,15.8177,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO71910,476,4,41.99,167.98,104.7052,2019-09-18,2019-07-28,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Women's Mountain Shorts, L",Shorts,Clothing,63.2708,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,477,4,2.99,11.98,7.4652,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,Water Bottle - 30 oz.,Bottles and Cages,Accessories,4.5108,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,483,3,72,216,134.64,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,Hitch Rack - 4-Bike,Bike Racks,Accessories,81.36,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59033,483,4,72,288,179.52,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,Hitch Rack - 4-Bike,Bike Racks,Accessories,108.48,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,484,5,4.77,23.85,14.8665,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,Bike Wash - Dissolver,Cleaners,Accessories,8.9835,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,487,1,32.99,32.99,20.5663,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,Hydration Pack - 70 oz.,Hydration Packs,Accessories,12.4277,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,490,2,32.39,64.79,83.1446,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Short-Sleeve Classic Jersey, L",Jerseys,Clothing,-18.3566,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,491,8,32.39,259.15,332.5784,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing,-73.4264,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59033,491,3,32.39,97.18,124.7169,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing,-27.5349,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO71910,491,2,32.39,64.79,83.1446,2019-09-18,2019-07-28,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing,-18.3566,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,517,2,31.58,63.17,46.7444,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,HL Mountain Seat/Saddle,Saddles,Components,16.4236,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,544,1,48.59,48.59,35.9596,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,HL Mountain Pedal,Pedals,Components,12.6344,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO47447,213,4,20.19,80.75,55.5128,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Red",Helmets,Accessories,25.2332,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,213,3,20.19,60.56,41.6346,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Red",Helmets,Accessories,18.9249,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,213,4,20.19,80.75,55.5128,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Red",Helmets,Accessories,25.2332,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,214,3,20.99,62.98,39.2589,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Red",Helmets,Accessories,23.7231,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO59063,214,3,20.99,62.98,39.2589,2019-03-22,2019-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Red",Helmets,Accessories,23.7231,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO71938,214,3,20.99,62.98,39.2589,2019-09-18,2019-07-28,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Red",Helmets,Accessories,23.7231,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,216,2,20.19,40.37,27.7564,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Black",Helmets,Accessories,12.6166,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,216,4,20.19,80.75,55.5128,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Black",Helmets,Accessories,25.2332,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,217,9,20.99,188.95,117.7767,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Black",Helmets,Accessories,71.1693,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO59063,217,3,20.99,62.98,39.2589,2019-03-22,2019-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Black",Helmets,Accessories,23.7231,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO71938,217,5,20.99,104.97,65.4315,2019-09-18,2019-07-28,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Black",Helmets,Accessories,39.5385,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,221,3,20.19,60.56,41.6346,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Blue",Helmets,Accessories,18.9249,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,221,6,20.19,121.12,83.2692,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Blue",Helmets,Accessories,37.8498,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,221,2,20.19,40.37,27.7564,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Blue",Helmets,Accessories,12.6166,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,222,6,20.99,125.96,78.5178,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Blue",Helmets,Accessories,47.4462,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO59063,222,2,20.99,41.99,26.1726,2019-03-22,2019-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Blue",Helmets,Accessories,15.8154,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO71938,222,3,20.99,62.98,39.2589,2019-09-18,2019-07-28,London,ENG,GB,0,Reseller Sales,16,16,"Sport-100 Helmet, Blue",Helmets,Accessories,23.7231,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,224,3,5.19,15.56,15.6891,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-0.1296,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,224,2,5.19,10.37,10.4594,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-8.64000000000011e-002,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO49510,224,3,5.19,15.56,15.6891,2018-06-20,2018-04-25,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-0.1296,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,224,4,5.19,20.75,20.9188,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-0.172800000000002,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,225,7,5.39,37.76,48.4561,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-10.6981,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO59063,225,5,5.39,26.97,34.6115,2019-03-22,2019-01-27,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-7.6415,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO65271,225,1,5.39,5.39,6.9223,2019-06-20,2019-04-26,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-1.5283,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO71938,225,1,5.39,5.39,6.9223,2019-09-18,2019-07-28,London,ENG,GB,0,Reseller Sales,16,16,AWC Logo Cap,Caps,Clothing,-1.5283,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,230,1,28.84,28.84,29.0807,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,-0.240300000000001,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,230,3,28.84,86.52,87.2421,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,-0.7209,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,230,1,28.84,28.84,29.0807,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,-0.240300000000001,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,231,3,29.99,89.98,115.4769,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,-25.4949,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO59063,231,8,29.99,239.95,307.9384,2019-03-22,2019-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,-67.9864,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO71938,231,2,29.99,59.99,76.9846,2019-09-18,2019-07-28,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing,-16.9966,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,233,3,28.84,86.52,87.2421,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-0.7209,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,233,2,28.84,57.68,58.1614,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-0.480600000000003,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO49510,233,3,28.84,86.52,87.2421,2018-06-20,2018-04-25,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-0.7209,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,233,3,28.84,86.52,87.2421,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-0.7209,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,234,7,29.99,209.96,269.4461,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-59.4881,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO59063,234,4,29.99,119.98,153.9692,2019-03-22,2019-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-33.9932,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO65271,234,5,29.99,149.97,192.4615,2019-06-20,2019-04-26,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-42.4915,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO71938,234,3,29.99,89.98,115.4769,2019-09-18,2019-07-28,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-25.4949,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,236,4,28.84,115.36,116.3228,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,-0.961200000000005,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,236,2,28.84,57.68,58.1614,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,-0.480600000000003,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,237,4,29.99,119.98,153.9692,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing,-33.9932,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,255,5,202.33,1011.66,1023.1255,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,"LL Road Frame - Black, 58",Road Frames,Components,-11.4655,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,265,1,202.33,202.33,187.1571,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"LL Road Frame - Red, 48",Road Frames,Components,15.1749,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,321,2,469.79,939.59,973.4132,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Road-650 Red, 58",Road Bikes,Bikes,-33.8252,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO59063,372,4,1466.01,5864.04,6219.7916,2019-03-22,2019-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Road-250 Red, 58",Road Bikes,Bikes,-355.7516,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO65271,386,3,672.29,2016.88,2139.2394,2019-06-20,2019-04-26,London,ENG,GB,0,Reseller Sales,16,16,"Road-550-W Yellow, 42",Road Bikes,Bikes,-122.3574,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,403,2,24.29,48.59,35.956,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,LL Road Handlebars,Handlebars,Components,12.633,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,404,3,26.72,80.17,59.3274,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,LL Road Handlebars,Handlebars,Components,20.8446,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,407,1,65.6,65.6,48.5453,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,HL Road Handlebars,Handlebars,Components,17.0565,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO53562,408,3,72.16,216.49,160.1997,2018-12-18,2018-10-29,London,ENG,GB,0,Reseller Sales,16,16,HL Road Handlebars,Handlebars,Components,56.2863,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO71938,408,1,72.16,72.16,53.3999,2019-09-18,2019-07-28,London,ENG,GB,0,Reseller Sales,16,16,HL Road Handlebars,Handlebars,Components,18.7621,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,414,1,149.03,149.03,110.2829,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,ML Road Front Wheel,Wheels,Components,38.7481,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,414,1,149.03,149.03,110.2829,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,ML Road Front Wheel,Wheels,Components,38.7481,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,415,1,198.04,198.04,146.5466,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,HL Road Front Wheel,Wheels,Components,51.4894,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,415,1,198.04,198.04,146.5466,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,HL Road Front Wheel,Wheels,Components,51.4894,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,415,3,198.04,594.11,439.6398,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,HL Road Front Wheel,Wheels,Components,154.4682,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,422,2,67.54,135.08,99.9578,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,LL Road Rear Wheel,Wheels,Components,35.1202,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,422,2,67.54,135.08,99.9578,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,LL Road Rear Wheel,Wheels,Components,35.1202,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO49510,422,4,67.54,270.16,199.9156,2018-06-20,2018-04-25,London,ENG,GB,0,Reseller Sales,16,16,LL Road Rear Wheel,Wheels,Components,70.2404,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,422,1,67.54,67.54,49.9789,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,LL Road Rear Wheel,Wheels,Components,17.5601,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,435,1,324.45,324.45,300.1188,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"ML Road Frame-W - Yellow, 48",Road Frames,Components,24.3339,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,447,4,15,60,41.25,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,Cable Lock,Locks,Accessories,18.75,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,448,7,11.99,83.96,57.7213,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,Minipump,Pumps,Accessories,26.2367,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,448,5,11.99,59.97,41.2295,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,Minipump,Pumps,Accessories,18.7405,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,453,2,35.99,71.99,49.4918,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Men's Sports Shorts, M",Shorts,Clothing,22.4962,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,453,3,35.99,107.98,74.2377,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Men's Sports Shorts, M",Shorts,Clothing,33.7443,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,453,2,35.99,71.99,49.4918,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"Men's Sports Shorts, M",Shorts,Clothing,22.4962,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,456,7,44.99,314.96,216.5338,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Women's Tights, S",Tights,Clothing,98.4242,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO48386,456,5,44.99,224.97,154.667,2018-03-22,2018-01-27,London,ENG,GB,0,Reseller Sales,16,16,"Women's Tights, S",Tights,Clothing,70.303,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO49510,456,1,44.99,44.99,30.9334,2018-06-20,2018-04-25,London,ENG,GB,0,Reseller Sales,16,16,"Women's Tights, S",Tights,Clothing,14.0606,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO50722,456,4,44.99,179.98,123.7336,2018-09-17,2018-07-27,London,ENG,GB,0,Reseller Sales,16,16,"Women's Tights, S",Tights,Clothing,56.2424,Bulk Discount Store,17,S,800000,80000,2004,EU,new
SO47447,458,4,44.99,179.98,123.7336,2017-12-19,2017-10-29,London,ENG,GB,0,Reseller Sales,16,16,"Women's Tights, L",Tights,Clothing,56.2424,Bulk Discount Store,17,S,800000,80000,2004,EU,new
